Location,Trees Lost,Climate,Latitude,Longitude,Recommended Tree,Trees to Plant,Carbon Absorption (kg/year),Average Temperature (°C),Average Rainfall (mm/year)
Beijing,413,Desert,7.5949,-50.6323,Redwood,641,23,6.172130486313872,2888
Cape Town,143,Coastal,25.4601,-63.2975,Teak,283,47,-2.7713326452576297,2278
Indonesia,347,Tropical,17.2434,-45.7039,Pine,536,10,11.319234892470195,523
Beijing,774,Desert,-11.6567,-39.1926,Pine,1011,17,15.876311164184756,1486
Amazon Rainforest,761,Tropical,-31.373,68.6312,Teak,833,37,10.536372308005436,2021
Sydney,981,Temperate,-18.458,128.6747,Pine,1119,30,25.170859438675645,324
Toronto,603,Desert,-10.3217,-113.4836,Silver Birch,788,35,14.496058250717358,1229
Mumbai,705,Desert,-6.0792,-81.1131,Cedar,982,25,17.12869023070368,1773
Beijing,614,Desert,16.4844,47.455,Teak,767,21,22.821138719697732,2261
California,508,Desert,-0.4899,-92.2589,Cedar,767,32,2.3525168288402725,2934
Cape Town,908,Mediterranean,9.9269,-92.153,Cedar,1191,40,19.530914394927287,2963
Amazon Rainforest,198,Continental,-28.4461,39.184,Cedar,374,31,1.5113008253543754,365
Sydney,758,Continental,9.3597,58.175,Redwood,865,45,35.21764070989227,2015
Sydney,581,Tropical,-11.09,-99.1165,Oak,695,18,2.6817699051910955,1483
Cape Town,648,Desert,-13.3356,113.7279,Mangrove,758,60,17.523128249014103,755
Indonesia,718,Subtropical,28.9761,116.1379,Silver Birch,994,32,-3.228870639548103,2642
California,636,Subtropical,23.7051,-32.7181,Maple,884,22,22.129394108113594,239
Toronto,673,Coastal,-46.7731,4.8807,Teak,728,49,34.61681308257474,337
California,877,Coastal,33.4814,65.2657,Cedar,1041,42,34.53070750191936,1612
Sydney,509,Mediterranean,26.1125,-105.3017,Teak,626,23,8.019092873845512,1417
Beijing,621,Subtropical,45.8971,-82.4344,Cedar,689,37,19.833647799947666,905
Amazon Rainforest,380,Mediterranean,-21.2162,112.8899,Eucalyptus,657,37,17.524343043101197,1709
Mumbai,711,Tropical,1.5928,-2.0355,Oak,928,42,6.570602141201249,1281
Beijing,953,Continental,12.5881,-111.2752,Teak,1055,44,20.28485864414851,1139
Beijing,673,Mediterranean,-43.2165,41.3466,Baobab,802,58,4.8066919252441185,888
Amazon Rainforest,511,Temperate,36.3412,-68.4274,Cedar,702,39,33.70478068104354,2967
Amazon Rainforest,382,Tropical,13.3696,43.8168,Maple,460,19,28.213223021091366,743
Mumbai,808,Continental,-16.1741,102.7178,Eucalyptus,992,59,7.310505442668644,1095
Beijing,852,Temperate,-19.6265,-15.7727,Redwood,973,26,6.854149072072671,1704
New York,257,Temperate,21.587,-94.1821,Teak,496,53,3.3929258454435587,1386
California,196,Coastal,16.3005,-21.1291,Baobab,469,40,34.457761553193876,2636
California,595,Coastal,9.7721,74.3777,Teak,649,13,9.805336294102469,1793
London,986,Mediterranean,-32.8149,-2.7504,Silver Birch,1037,13,32.69561778145893,2409
London,505,Mediterranean,36.1772,35.5181,Silver Birch,661,48,-0.20844224386813792,515
London,367,Subtropical,-12.4127,29.1695,Teak,625,10,11.099079843392623,341
Cape Town,614,Mediterranean,16.1396,13.9034,Maple,791,47,-3.2498485593347084,2317
Indonesia,277,Mediterranean,-14.7109,77.0328,Silver Birch,461,30,21.234633792126633,401
Cape Town,860,Coastal,-23.6126,-108.0272,Mangrove,951,40,21.85533496219466,2461
Toronto,466,Desert,4.5084,-34.9649,Oak,580,20,1.1030274923487369,758
Amazon Rainforest,344,Temperate,-22.9565,67.0665,Oak,539,41,2.3728982558052465,293
Cape Town,611,Mediterranean,10.3978,-3.3234,Pine,683,60,8.05441375355479,2428
California,866,Desert,-16.2661,-40.8766,Maple,1122,33,25.831226621779475,2434
Mumbai,701,Subtropical,44.3627,-30.1886,Oak,851,52,37.32363609167216,896
Beijing,860,Continental,-15.9115,-113.4719,Eucalyptus,918,58,9.707094174539952,2144
California,949,Subtropical,22.7673,122.9726,Oak,1116,17,10.815632993174237,2889
London,638,Temperate,26.9786,84.5675,Mangrove,774,59,15.320017602552348,2959
Amazon Rainforest,570,Temperate,30.1946,-125.14,Cedar,734,22,27.265418541686586,1850
Mumbai,328,Continental,-38.9976,19.7974,Maple,618,30,2.135872607861179,1085
London,483,Temperate,0.0969,-6.9499,Redwood,756,23,-2.7416832624551333,590
Beijing,944,Coastal,24.6083,127.1484,Cedar,1205,14,-2.2956485277703758,2693
Cape Town,319,Desert,36.2061,59.5224,Cedar,533,27,-0.28043355537672365,1329
Beijing,765,Desert,10.9101,0.9874,Baobab,996,16,22.073957319673152,363
Mumbai,314,Tropical,-45.3615,-23.1951,Teak,530,42,16.350382425286455,2219
Amazon Rainforest,428,Subtropical,47.3972,108.0301,Redwood,535,44,35.845391083726135,758
New York,276,Coastal,-37.7998,-54.0466,Baobab,356,50,-3.8536432629478927,2599
Indonesia,622,Continental,-47.5666,-61.0484,Eucalyptus,796,29,6.396401907484581,1415
California,126,Desert,-48.1991,-36.7694,Cedar,423,21,6.8453370729677445,2837
London,121,Tropical,-49.9361,113.0987,Oak,325,27,5.110671861771463,1441
Indonesia,126,Desert,16.4345,-16.1752,Oak,263,58,19.99984005140329,1680
Sydney,792,Coastal,-28.2823,-123.3277,Silver Birch,911,39,-4.854631105985994,2013
Mumbai,411,Temperate,-30.411,102.87,Cedar,479,36,35.164353347941415,1975
Beijing,984,Subtropical,48.3812,-124.5469,Mangrove,1263,53,25.06267476697369,1487
Indonesia,115,Coastal,8.2852,-52.7965,Cedar,205,45,4.541339860915425,2194
Beijing,734,Mediterranean,36.097,-43.0689,Mangrove,913,59,17.136332061117557,1711
Sydney,866,Coastal,-36.4985,126.8787,Silver Birch,968,23,8.842939265345844,2706
New York,778,Continental,44.6612,-99.833,Pine,1014,15,19.976698057896332,2107
Sydney,849,Subtropical,-7.4494,32.0917,Mangrove,942,49,4.2500317197852855,1155
Amazon Rainforest,746,Subtropical,-47.1536,48.2119,Oak,848,57,27.272311789592706,258
London,514,Temperate,-8.5442,124.4093,Mangrove,740,40,27.39608763873084,2546
Amazon Rainforest,886,Mediterranean,34.2481,-64.3079,Redwood,1110,22,12.50187036332919,2837
Indonesia,124,Subtropical,-32.8007,-9.196,Mangrove,415,47,2.441262676049833,2600
Beijing,309,Coastal,-21.6637,-123.074,Maple,563,56,17.323115549263676,1209
Mumbai,279,Tropical,38.5469,45.1466,Baobab,499,13,12.812873134892861,1138
Cape Town,635,Continental,41.1696,77.5988,Teak,741,18,29.483741339885718,995
Cape Town,468,Continental,33.8679,-53.9604,Cedar,655,16,14.262689356670553,213
Amazon Rainforest,509,Desert,27.6407,-28.4378,Eucalyptus,622,41,35.202128544351545,1566
Indonesia,430,Continental,44.1025,17.5369,Silver Birch,658,50,19.82502885760768,330
Indonesia,426,Temperate,-35.4835,-4.1142,Silver Birch,521,43,-2.5040818333698556,371
Beijing,605,Subtropical,-39.3241,39.8313,Eucalyptus,679,13,9.730726918323736,1581
Amazon Rainforest,616,Coastal,7.553,7.0176,Baobab,728,35,9.920704208598321,1302
Beijing,928,Tropical,-45.7365,-115.0667,Mangrove,978,37,25.99492861466361,2618
Amazon Rainforest,604,Coastal,-36.0188,-25.0846,Maple,690,25,16.073909284669984,2223
Cape Town,549,Desert,-25.4663,119.6471,Cedar,745,49,22.26010777812696,1152
California,464,Mediterranean,35.204,-62.8328,Redwood,758,23,-1.3242709062650944,2380
Beijing,251,Desert,-16.0439,125.7926,Maple,473,39,3.8990346445253437,1345
Sydney,553,Desert,-3.1613,-97.5776,Pine,610,57,-2.746301157727902,2742
Cape Town,198,Temperate,47.1489,-48.5252,Eucalyptus,369,40,14.731263957817099,2974
Indonesia,123,Continental,-16.5805,7.5673,Oak,375,54,0.9634560277657558,2588
Beijing,789,Desert,-26.1598,89.26,Mangrove,894,26,0.5048673980906857,459
New York,497,Coastal,-28.4826,-17.857,Baobab,770,13,4.62212409355816,503
New York,134,Tropical,-16.5351,69.1027,Oak,214,52,28.24820784619341,967
Mumbai,503,Subtropical,36.7305,124.1772,Mangrove,646,44,32.580358858953005,1069
Toronto,155,Temperate,44.1911,123.5061,Silver Birch,346,40,36.97285506619375,1287
Sydney,618,Subtropical,-13.3447,-120.8808,Maple,690,48,5.646275749869723,1199
Sydney,983,Mediterranean,-37.2974,-75.2485,Oak,1102,10,26.254049839959205,1282
Beijing,795,Desert,31.6803,-21.1168,Eucalyptus,971,48,17.03354139824485,1851
California,422,Continental,13.6389,36.529,Redwood,668,51,1.4715952103724508,804
London,540,Coastal,-13.2649,-75.1395,Redwood,753,50,33.160753375932465,1278
London,104,Temperate,-28.1582,91.6247,Maple,370,13,36.73091049670241,648
Sydney,264,Temperate,-19.7664,0.9033,Cedar,448,14,12.70597325852853,1136
Indonesia,964,Tropical,-23.9696,-123.4353,Maple,1086,43,17.733600642072034,2746
Amazon Rainforest,480,Continental,13.5294,-38.2371,Teak,643,58,7.956025336967734,913
Mumbai,948,Mediterranean,8.8084,52.7105,Oak,1193,20,8.09998291272924,1505
California,103,Continental,-9.2594,-98.0429,Silver Birch,268,14,1.0952391011108071,2094
London,373,Continental,0.8016,18.6019,Redwood,589,44,15.02717271876164,2022
Sydney,836,Subtropical,-6.8955,104.4868,Eucalyptus,900,33,2.0570937566032903,2116
New York,318,Coastal,-7.6226,107.2028,Silver Birch,508,18,10.176048231372162,2807
Cape Town,684,Coastal,-40.4702,-120.6205,Oak,778,54,4.827407859989622,2357
Beijing,153,Coastal,37.5256,1.033,Maple,276,13,8.465943364823966,1715
California,592,Mediterranean,-44.5513,38.9713,Eucalyptus,719,54,37.96536506581257,1620
Amazon Rainforest,101,Desert,-45.1924,1.8161,Eucalyptus,167,32,38.98054914458384,993
California,627,Temperate,42.9371,74.3634,Eucalyptus,731,13,25.343832113406883,530
Cape Town,911,Mediterranean,-44.2816,-15.7231,Oak,1121,54,12.650882287788754,1642
Amazon Rainforest,227,Desert,-38.8676,16.2029,Cedar,393,54,5.028592209647464,1143
New York,431,Temperate,-43.5249,43.2018,Redwood,679,55,1.9123286074057146,2406
Indonesia,410,Tropical,-31.4426,-20.1663,Pine,584,12,7.502693595768058,1766
California,177,Tropical,-32.1212,122.9699,Cedar,256,27,22.71503042422697,2654
New York,242,Mediterranean,-47.3773,122.6925,Baobab,516,16,4.867012475403238,844
Mumbai,343,Subtropical,-47.6695,57.8931,Redwood,534,18,5.98050597179196,815
Toronto,781,Coastal,49.3279,-106.2217,Silver Birch,957,30,14.714754006989136,2862
Toronto,196,Coastal,41.0583,-52.1092,Baobab,414,31,20.663295772567146,2164
Beijing,132,Coastal,-1.4,-26.2852,Eucalyptus,332,33,37.42237980551028,1225
Beijing,918,Subtropical,-21.1943,15.384,Silver Birch,1144,14,8.37278288940855,1398
Sydney,104,Temperate,-34.6161,27.1634,Silver Birch,176,18,23.834428303697848,2709
California,242,Mediterranean,13.5814,-101.2126,Maple,529,55,30.46091526843511,226
Amazon Rainforest,168,Desert,7.8998,-76.8579,Oak,270,11,5.514466924133826,538
California,656,Temperate,8.1609,8.1187,Eucalyptus,803,23,37.201237315049084,739
New York,495,Temperate,-5.9889,-92.4587,Redwood,699,29,24.985438994536953,428
California,663,Desert,-46.1926,-29.9329,Eucalyptus,724,32,10.044249834300228,1735
Indonesia,235,Tropical,-42.5406,-37.4197,Mangrove,390,12,-3.976455067010505,1825
Mumbai,613,Coastal,4.8433,-70.7787,Maple,880,17,13.769080479553118,592
New York,668,Temperate,34.0974,103.9325,Baobab,814,33,9.896460375469287,912
California,613,Temperate,10.7702,123.0416,Mangrove,866,44,-0.036883684697590624,790
Mumbai,768,Tropical,43.4165,-6.567,Redwood,1046,11,2.3148590990958358,689
Toronto,620,Desert,27.9905,-23.665,Maple,707,36,3.8060097113989713,2038
Mumbai,100,Mediterranean,37.7999,-21.9025,Pine,248,49,0.31862411990582373,1287
Toronto,446,Coastal,10.0303,6.1647,Baobab,638,48,7.41643003098044,1245
Cape Town,894,Coastal,-34.0261,78.7286,Maple,1120,28,13.272729384655833,773
Cape Town,636,Coastal,-25.3122,-11.7072,Baobab,914,54,11.462852557872786,2618
Amazon Rainforest,331,Tropical,-30.1977,46.1649,Oak,509,15,36.737440872926314,2586
Toronto,862,Mediterranean,-14.304,-77.3303,Oak,963,46,17.69259619483802,2248
Mumbai,977,Mediterranean,39.2942,43.0748,Mangrove,1049,20,37.84162869563612,2426
Toronto,219,Temperate,-32.7523,89.3977,Cedar,419,29,-1.7808127113211492,1100
Indonesia,968,Continental,-34.3553,-10.7342,Baobab,1057,27,26.168407204532965,984
California,201,Subtropical,-45.5462,74.5009,Maple,427,45,27.11310493249242,1971
Amazon Rainforest,538,Mediterranean,21.6649,52.3047,Redwood,708,45,36.35370342556772,2179
New York,116,Tropical,3.6785,63.3968,Oak,249,59,34.35321330773867,1216
California,620,Desert,0.2172,54.8264,Maple,700,29,6.780683627980254,1148
Indonesia,651,Temperate,-23.5947,73.3571,Eucalyptus,727,30,37.53292247442385,1397
Toronto,773,Continental,13.9178,120.9864,Teak,847,33,5.050435372937814,2553
New York,901,Temperate,-8.7641,116.0035,Mangrove,1199,50,4.193742699954051,1296
Sydney,461,Coastal,-4.1992,24.3727,Redwood,557,40,10.748129925610307,564
Cape Town,993,Subtropical,-29.744,107.4924,Eucalyptus,1272,25,3.544805969439377,1345
New York,441,Continental,-44.9297,77.6196,Pine,634,26,8.21706932629172,1630
Cape Town,866,Tropical,9.1758,-89.0075,Cedar,1039,38,22.42837143729238,838
Sydney,922,Continental,-40.2435,124.5705,Mangrove,1179,42,22.535220738134807,429
New York,643,Tropical,7.836,14.9248,Pine,770,47,-3.5267174207478997,1931
Mumbai,953,Coastal,12.5922,-119.5692,Redwood,1115,21,13.241334673797677,710
Indonesia,842,Mediterranean,-8.95,-124.7877,Pine,1054,55,15.63121333130255,1444
Sydney,139,Subtropical,-36.8181,69.7589,Baobab,439,10,23.469808456442628,1822
Amazon Rainforest,839,Mediterranean,-36.9267,32.4345,Cedar,954,56,13.308376664404566,1519
Toronto,346,Tropical,11.5619,26.8776,Silver Birch,546,10,19.52843195086045,249
New York,564,Temperate,35.0068,19.2813,Maple,809,48,37.4082070417986,870
Cape Town,409,Desert,3.8862,66.8472,Teak,645,46,7.98380884043708,1747
Mumbai,355,Tropical,-19.7609,23.8028,Silver Birch,525,51,24.910886594314952,1498
Beijing,108,Temperate,20.7545,-105.5619,Maple,338,47,30.233902029385426,1147
London,637,Continental,-16.2593,44.3484,Redwood,920,24,18.888973366954566,1467
Sydney,756,Temperate,-33.3166,-95.1344,Redwood,1026,19,13.494483095989985,2479
London,879,Desert,-20.0223,-60.192,Cedar,999,30,8.359757796966885,2255
Mumbai,888,Desert,28.9551,-66.5946,Mangrove,1170,11,-1.0573411379793027,2942
California,893,Desert,-8.4998,65.6139,Redwood,996,44,-0.07805208051434498,2323
Indonesia,867,Coastal,-39.5002,122.9913,Teak,1034,55,2.6231852944559533,2541
Sydney,834,Subtropical,45.8736,-30.9889,Baobab,953,40,4.446171948698586,2903
Toronto,574,Coastal,11.1656,15.1927,Cedar,667,55,18.41118857342093,2161
Mumbai,104,Tropical,18.2441,69.7378,Pine,277,47,38.09482382207584,2761
Sydney,842,Mediterranean,-25.3728,-129.7086,Maple,1106,44,11.091697560841919,2380
Toronto,836,Tropical,-8.8275,112.9566,Eucalyptus,1054,43,2.110719609260042,2939
Sydney,316,Subtropical,-5.5422,95.8631,Mangrove,581,23,15.503237607665849,2733
Mumbai,629,Mediterranean,26.0652,-84.8583,Silver Birch,724,54,8.916782279386762,2632
Beijing,299,Temperate,-34.276,-29.8864,Redwood,481,26,37.94151872042297,2668
California,811,Continental,-6.4445,-12.9466,Oak,966,15,23.05793089824277,2111
Cape Town,860,Subtropical,4.4828,-77.2376,Pine,1103,40,32.06290746359015,823
London,307,Mediterranean,-1.5917,29.3375,Mangrove,416,53,2.566840422117175,1154
California,427,Subtropical,9.7657,41.025,Teak,611,53,15.118391960787125,2944
Indonesia,173,Mediterranean,-21.4684,-121.1027,Silver Birch,339,51,33.45441297120976,1311
Indonesia,753,Mediterranean,-16.2877,-97.9966,Teak,950,10,-4.475537851629287,324
Toronto,215,Coastal,40.7528,69.6279,Oak,438,17,30.056192343830823,1195
New York,713,Temperate,40.5874,16.5782,Oak,987,24,9.144197048673293,2933
New York,463,Subtropical,-3.7569,-9.7743,Silver Birch,522,29,10.537975090336138,848
New York,898,Temperate,20.2449,97.8697,Cedar,1050,46,11.815413878941015,2835
London,405,Subtropical,-24.0065,-51.3651,Mangrove,561,16,24.03646518828436,1096
New York,227,Coastal,-40.556,88.231,Maple,484,16,28.552537134961256,669
Amazon Rainforest,251,Coastal,43.681,26.9247,Eucalyptus,511,15,5.902127441036377,2604
Beijing,866,Tropical,-40.9015,81.8799,Teak,1079,45,2.343902389510639,1694
Beijing,484,Tropical,-21.8102,38.3883,Oak,733,22,-2.124643703298278,1648
California,584,Desert,2.0173,-73.8125,Baobab,761,54,18.200942445733773,1565
London,150,Tropical,22.7542,70.5914,Cedar,438,27,-2.3377492257753305,1638
Indonesia,272,Mediterranean,-45.2694,-96.5107,Maple,526,24,35.11690695413837,1008
London,955,Continental,-42.9604,-91.9926,Maple,1187,46,36.070269687691436,2845
California,764,Coastal,-13.4871,67.6016,Teak,842,39,1.7235391686263792,714
Indonesia,611,Tropical,-5.2956,118.531,Pine,782,30,5.721315005982795,994
New York,747,Desert,47.9796,-34.6137,Silver Birch,1041,26,29.81660629135647,714
Indonesia,139,Desert,30.0439,-89.5733,Oak,264,25,-3.4712092571382476,2881
Amazon Rainforest,798,Mediterranean,-35.7376,-117.5231,Oak,1067,43,20.74446195212212,1905
Cape Town,759,Temperate,-1.1092,101.1033,Oak,930,35,39.306047242678545,2466
Mumbai,394,Subtropical,26.2543,22.6823,Cedar,677,28,25.933229208203993,248
New York,171,Desert,13.9825,-54.778,Mangrove,470,49,39.262513140896594,2931
Beijing,244,Desert,49.3756,65.93,Eucalyptus,467,29,38.45170014680261,332
Indonesia,403,Mediterranean,-3.9878,-89.6203,Pine,675,30,31.17607821977174,2050
Amazon Rainforest,851,Tropical,-3.9636,53.1871,Redwood,1070,48,31.368746693039107,1378
New York,755,Mediterranean,33.4411,121.6401,Baobab,1020,38,27.15464498797038,1956
Mumbai,963,Mediterranean,-33.8087,1.0139,Eucalyptus,1019,53,-3.3201006545043263,271
Toronto,761,Coastal,31.1063,-77.4627,Maple,847,55,34.54833533751851,943
California,109,Continental,0.3947,-113.49,Silver Birch,337,11,23.29206671406575,535
Toronto,463,Subtropical,-3.3109,-44.208,Redwood,596,31,30.743457173872542,1888
California,500,Mediterranean,-27.1953,122.7609,Silver Birch,762,19,35.84700461021073,2991
Indonesia,554,Desert,41.9302,79.2575,Redwood,818,22,0.8851885650474465,1953
Toronto,547,Coastal,7.5788,12.0556,Mangrove,727,25,-4.360171577454928,1927
California,351,Coastal,29.2011,-104.0265,Redwood,428,53,9.5989089609293,1598
Amazon Rainforest,527,Desert,32.3466,109.4254,Maple,812,32,39.60188453934067,1848
California,458,Mediterranean,32.5023,-112.3044,Silver Birch,653,49,23.07512555920608,1732
Beijing,393,Continental,-37.9917,-77.5081,Mangrove,599,52,9.285238218416891,486
New York,996,Temperate,-10.2998,-22.7817,Maple,1250,53,4.83537720255922,2144
Amazon Rainforest,824,Mediterranean,-47.4117,67.7236,Mangrove,1105,31,23.90517540705909,1702
California,679,Tropical,31.8095,-50.319,Maple,806,10,27.851018227095082,2674
Indonesia,557,Subtropical,19.8806,2.0703,Cedar,720,33,20.524553788596496,2785
Indonesia,422,Coastal,34.4664,-107.8663,Oak,624,33,22.690502773463717,631
New York,390,Coastal,11.9458,-101.0306,Mangrove,661,33,-0.8586117514641991,1025
Indonesia,812,Desert,38.1238,-112.06,Maple,1085,20,27.636991107816982,1595
Indonesia,354,Tropical,-3.7778,126.9237,Eucalyptus,604,16,10.597632852776648,2134
Indonesia,327,Continental,14.8376,89.6788,Oak,452,23,24.11065834973148,1211
Sydney,220,Tropical,-38.5497,41.6842,Oak,337,25,28.984192344670944,445
Beijing,322,Subtropical,-29.2342,-34.3319,Cedar,409,21,2.511574209622781,453
Indonesia,857,Continental,19.7609,-80.0214,Teak,1026,18,9.792058891569988,2163
Mumbai,442,Temperate,20.6542,113.4611,Eucalyptus,542,40,31.09930977603419,471
California,185,Continental,39.4164,30.7453,Baobab,257,43,0.22962687868102805,1125
Toronto,918,Continental,-3.546,-123.7382,Redwood,1095,53,11.515906495077527,2942
Mumbai,530,Desert,-27.8696,-74.2826,Maple,695,13,27.870512801380485,1581
London,279,Tropical,42.7171,-69.3776,Eucalyptus,341,55,-2.409266446483594,935
Cape Town,405,Subtropical,-25.2946,-52.0568,Pine,543,41,29.697221099693863,656
Amazon Rainforest,922,Desert,-42.5931,-73.5652,Redwood,988,12,20.402573789959916,1022
Beijing,635,Tropical,10.3433,-126.1316,Silver Birch,752,22,1.1129602964108232,1134
Sydney,365,Mediterranean,-32.9564,80.0571,Baobab,570,53,11.063600540447556,2219
Cape Town,230,Temperate,32.6699,100.6444,Eucalyptus,489,55,-4.561458933029156,247
Indonesia,391,Tropical,43.9616,-50.362,Cedar,507,53,-1.3799318915355823,271
London,235,Subtropical,-28.8139,10.6274,Pine,301,25,12.75820503073085,2212
Mumbai,605,Tropical,-37.7963,48.2207,Cedar,898,16,39.754569876087004,2046
Toronto,335,Subtropical,41.3227,-63.1386,Eucalyptus,481,18,23.596894449794025,1248
Beijing,709,Subtropical,24.5639,25.1842,Silver Birch,918,10,9.719067304988098,1078
California,458,Coastal,1.3667,-59.9926,Pine,627,57,19.08109768394991,1414
Amazon Rainforest,299,Continental,43.8999,116.8045,Oak,569,14,24.161292280926485,773
New York,358,Continental,35.948,114.3106,Silver Birch,647,12,3.14220420783451,2706
New York,827,Tropical,-29.8443,107.5352,Cedar,907,43,9.75113327101783,1477
Beijing,177,Coastal,37.323,-100.9441,Baobab,330,49,33.550701003874806,1103
London,269,Continental,48.0745,53.7669,Redwood,538,42,11.784466499977512,527
California,572,Subtropical,-11.016,-117.1818,Eucalyptus,662,19,27.069948276908164,566
California,571,Subtropical,-20.6219,20.7871,Teak,717,56,4.776501205066335,1314
Sydney,110,Continental,48.2818,-15.9907,Oak,377,41,33.244920451054014,1578
London,238,Mediterranean,12.4944,77.9513,Pine,531,59,35.722415798462045,2640
Mumbai,945,Continental,-49.7,-15.8378,Teak,1045,42,0.3849870279709755,1900
California,202,Subtropical,-27.8095,-75.0773,Maple,396,48,8.406717553605858,1779
Indonesia,696,Desert,-25.1072,-26.7174,Mangrove,822,51,33.159158543507914,887
Cape Town,775,Continental,29.7755,-82.497,Teak,912,27,39.62458010041898,1939
Sydney,750,Continental,1.9045,-11.0484,Oak,948,56,2.126766971196484,1696
Amazon Rainforest,127,Desert,48.1558,-5.7143,Eucalyptus,213,53,23.104441227739787,2859
Beijing,259,Desert,4.5992,112.7538,Oak,363,35,36.93663153334562,312
California,370,Temperate,22.6656,-62.3142,Oak,634,58,4.516029021690986,1422
Sydney,751,Mediterranean,42.0615,125.5343,Maple,916,48,29.72980745381893,2063
Toronto,798,Subtropical,-24.3387,-55.0479,Teak,935,16,31.207014360413602,468
New York,253,Mediterranean,26.1459,-82.0626,Redwood,415,32,10.360393567606577,2941
Sydney,849,Coastal,32.7763,85.1058,Baobab,1053,26,11.312551915360107,2722
Amazon Rainforest,204,Continental,30.6746,63.2717,Baobab,410,38,33.246115002899266,1134
Sydney,718,Tropical,30.1632,107.3638,Teak,929,25,6.4352660863264255,733
Indonesia,643,Desert,-40.5134,-68.0476,Pine,735,23,29.805762158023263,2101
London,268,Mediterranean,20.0781,-117.1724,Baobab,534,36,32.07124384645302,2192
New York,258,Temperate,46.9201,-61.4357,Teak,537,32,23.21605169379001,2655
New York,663,Tropical,-30.1198,-25.1231,Redwood,767,12,17.432439977124588,748
Toronto,652,Desert,6.9794,-110.32,Maple,839,34,-2.172238782578498,320
Sydney,934,Continental,-4.1122,-86.9273,Oak,1175,60,23.249341140552463,667
Sydney,983,Continental,-25.1541,82.8791,Maple,1047,27,35.3331211242537,1195
Toronto,533,Tropical,29.3377,-53.759,Cedar,720,45,39.140271223592976,1028
Beijing,635,Continental,-49.3297,-79.9713,Silver Birch,751,31,35.76936793053875,1836
Toronto,716,Mediterranean,-36.1014,-10.7157,Silver Birch,855,40,34.62694505812264,1884
London,543,Continental,-0.118,64.1282,Oak,670,53,13.527541275135704,1834
Sydney,948,Tropical,-43.9881,-51.4241,Redwood,1083,59,10.080534515539021,783
Amazon Rainforest,992,Temperate,47.2894,89.5185,Pine,1049,28,39.38131520797438,706
California,672,Temperate,-25.1558,-36.6852,Teak,894,54,31.56518999635091,861
Beijing,985,Temperate,-11.2872,-56.8751,Mangrove,1244,28,1.449914071194648,2688
Toronto,324,Subtropical,22.4559,-64.0514,Silver Birch,516,43,39.57523664456888,2628
London,689,Tropical,37.3118,-47.8611,Silver Birch,822,25,36.38903225731092,2344
Cape Town,461,Mediterranean,-14.8011,76.7032,Oak,708,29,21.322571953245355,1310
Sydney,649,Continental,29.6299,60.5111,Redwood,909,12,24.82045541997631,1641
Mumbai,848,Desert,-41.7857,48.5126,Silver Birch,978,13,35.51755847100246,2717
London,988,Temperate,-37.65,79.5818,Maple,1255,34,16.931716196671324,2111
London,537,Continental,-1.0204,116.6538,Baobab,729,45,-4.909137605459185,263
Amazon Rainforest,814,Continental,23.9877,-14.4215,Maple,902,12,25.80257980402301,1113
Indonesia,272,Mediterranean,-23.8728,-85.7268,Oak,515,13,35.320772083823414,1668
Sydney,418,Temperate,41.0627,-81.593,Oak,528,17,15.861237918141022,2163
California,897,Subtropical,41.8938,111.0995,Pine,968,42,17.740175933876067,2846
Indonesia,763,Tropical,-16.4817,56.1068,Oak,969,38,24.630270247509337,783
Beijing,769,Mediterranean,-47.8791,-38.8722,Eucalyptus,1035,11,32.28159688805476,1553
Beijing,593,Mediterranean,43.9496,-1.3736,Baobab,746,12,-1.8369927150175096,2982
Cape Town,836,Coastal,47.3793,30.5952,Cedar,907,45,10.7394289563539,290
Sydney,683,Tropical,-31.6562,10.1873,Cedar,791,23,15.501002699002047,1470
New York,720,Mediterranean,-4.2724,-81.6699,Maple,798,39,8.217983749480858,2130
Beijing,924,Tropical,-48.4979,85.879,Mangrove,1208,50,34.90249310442128,2146
Beijing,960,Subtropical,-44.8537,-101.4347,Maple,1055,24,18.12938860149257,551
Amazon Rainforest,808,Mediterranean,4.3884,-50.1425,Oak,1092,38,10.799719016377942,2010
Sydney,224,Coastal,30.5746,70.8598,Maple,414,39,-4.576999793767106,2011
Sydney,547,Subtropical,-0.3131,-120.2323,Pine,674,11,-4.0042529221234595,747
Toronto,896,Mediterranean,-47.1822,119.4776,Baobab,1027,42,2.8138141589452124,759
London,355,Temperate,-26.7666,30.2307,Teak,413,56,4.09248475422776,2991
Amazon Rainforest,767,Temperate,14.0503,-88.9986,Silver Birch,993,43,19.41960574702671,1442
Amazon Rainforest,728,Mediterranean,28.8163,-98.2234,Silver Birch,881,26,36.50519713378012,1460
Amazon Rainforest,538,Desert,-18.9127,61.7611,Oak,726,41,9.734170772267705,221
Beijing,948,Tropical,49.2677,43.3769,Maple,1128,53,-2.021599342635679,2260
Cape Town,796,Desert,-17.628,21.9016,Mangrove,947,43,39.12641133556569,2248
Beijing,576,Temperate,-47.5042,86.8944,Teak,816,43,6.707795297974798,814
Amazon Rainforest,915,Continental,-32.2854,-122.2433,Oak,1018,12,2.8136953884614044,2801
Toronto,356,Temperate,-33.1081,45.8348,Silver Birch,516,24,13.803127911700248,1803
